qtype,Question,Answer
symptoms,What are the symptoms of Heart Block ?,"Signs and symptoms depend on the type of heart block you have. First-degree heart block may not cause any symptoms.
                
Signs and symptoms of second- and third-degree heart block include:
                
Fainting
                
Dizziness or light-headedness
                
Fatigue (tiredness)
                
Shortness of breath
                
Chest pain
                
These symptoms may suggest other health problems as well. If these symptoms are new or severe, call 911 or have someone drive you to the hospital emergency room. If you have milder symptoms, talk with your doctor right away to find out whether you need prompt treatment."
exams and tests,How to diagnose Heart Block ?,"Heart block might be diagnosed as part of a routine doctor's visit or during an emergency situation. (Third-degree heart block often is an emergency.)
                
Your doctor will diagnose heart block based on your family and medical histories, a physical exam, and test results.
                
Specialists Involved
                
Your primary care doctor might be involved in diagnosing heart block. However, if you have the condition, you might need to see a heart specialist. Heart specialists include:
                
Cardiologists (doctors who diagnose and treat adults who have heart problems)
                
Pediatric cardiologists (doctors who diagnose and treat babies and children who have heart problems)
                
Electrophysiologists (cardiologists or pediatric cardiologists who specialize in the heart's electrical system)
                
Family and Medical Histories
                
Your doctor may ask whether:
                
You have any signs or symptoms of heart block
                
You have any health problems, such as heart disease
                
Any of your family members have been diagnosed with heart block or other health problems
                
You're taking any medicines, including herbal products and prescription and over-the-counter medicines
                
You smoke or use alcohol or drugs
                
Your doctor also may ask about other health habits, such as how physically active you are.
                
Physical Exam
                
During the physical exam, your doctor will listen to your heart. He or she will listen carefully for abnormal rhythms or heart murmurs (extra or unusual sounds heard during heartbeats).
                
Your doctor also may:
                
Check your pulse to find out how fast your heart is beating
                
Check for swelling in your legs or feet, which could be a sign of an enlarged heart or heart failure
                
Look for signs of other diseases that could be causing heart rate or rhythm problems (such as coronary heart disease)
                
Diagnostic Tests and Procedures
                
EKG (Electrocardiogram)
                
Doctors usually use an EKG (electrocardiogram) to help diagnose heart block. This simple test detects and records the heart's electrical activity.
                
An EKG shows how fast the heart is beating and its rhythm (steady or irregular). The test also records the strength and timing of electrical signals as they pass through the heart.
                
The data are recorded on a graph. Different types of heart block have different patterns on the graph. (For more information, go to ""Types of Heart Block."")
                
A standard EKG only records the heart's activity for a few seconds. To diagnose heart rhythm problems that come and go, your doctor may have you wear a portable EKG monitor.
                
The most common types of portable EKGs are Holter and event monitors. Your doctor may have you use one of these monitors to diagnose first- or second-degree heart block.
                
Holter and Event Monitors
                
A Holter monitor records the heart's electrical signals for a full 24- or 48-hour period. You wear one while you do your normal daily activities. This allows the monitor to record your heart for a longer time than a standard EKG.
                
An event monitor is similar to a Holter monitor. You wear an event monitor while doing your normal activities. However, an event monitor only records your heart's electrical activity at certain times while you're wearing it.
                
You may wear an event monitor for 1 to 2 months, or as long as it takes to get a recording of your heart during symptoms.
                
Electrophysiology Study
                
For some cases of heart block, doctors may do electrophysiology studies (EPS). During this test, a thin, flexible wire is passed through a vein in your groin (upper thigh) or arm to your heart. The wire records your heart's electrical signals.
                
Other Tests
                
To diagnose heart block, your doctor may recommend tests to rule out other types of arrhythmias (irregular heartbeats). For more information, go to ""How Are Arrhythmias Diagnosed?"""
treatment,What are the treatments for Heart Block ?,"Treatment depends on the type of heart block you have. If you have first-degree heart block, you may not need treatment.
                
If you have second-degree heart block, you may need a pacemaker. A pacemaker is a small device that's placed under the skin of your chest or abdomen. This device uses electrical pulses to prompt the heart to beat at a normal rate.
                
If you have third-degree heart block, you will need a pacemaker. In an emergency, a temporary pacemaker might be used until you can get a long-term device. Most people who have third-degree heart block need pacemakers for the rest of their lives.
                
Some people who have third-degree congenital heart block don't need pacemakers for many years. Others may need pacemakers at a young age or during infancy.
                
If a pregnant woman has an autoimmune disease, such as lupus, her fetus is at risk for heart block. If heart block is detected in a fetus, the mother might be given medicine to reduce the fetus' risk of developing serious heart block.
                
Sometimes acquired heart block goes away if the factor causing it is treated or resolved. For example, heart block that occurs after a heart attack or surgery may go away during recovery.
                
Also, if a medicine is causing heart block, the condition may go away if the medicine is stopped or the dosage is lowered. (Always talk with your doctor before you change the way you take your medicines.)"
information,What is (are) Patent Ductus Arteriosus ?,"Patent ductus arteriosus (PDA) is a heart problem that occurs soon after birth in some babies. In PDA, abnormal blood flow occurs between two of the major arteries connected to the heart.
                
Before birth, the two major arteriesthe aorta and the pulmonary (PULL-mun-ary) arteryare connected by a blood vessel called the ductus arteriosus. This vessel is an essential part of fetal blood circulation.
                
Within minutes or up to a few days after birth, the vessel is supposed to close as part of the normal changes occurring in the baby's circulation.
                
In some babies, however, the ductus arteriosus remains open (patent). This opening allows oxygen-rich blood from the aorta to mix with oxygen-poor blood from the pulmonary artery. This can put strain on the heart and increase blood pressure in the lung arteries.
                
Normal Heart and Heart With Patent Ductus Arteriosus
                

                
Go to the ""How the Heart Works"" section of this article for more details about how a normal heart works compared with a heart that has PDA.
                
Overview
                
PDA is a type of congenital (kon-JEN-ih-tal) heart defect. A congenital heart defect is any type of heart problem that's present at birth.
                
If your baby has a PDA but an otherwise normal heart, the PDA may shrink and go away. However, some children need treatment to close their PDAs.
                
Some children who have PDAs are given medicine to keep the ductus arteriosus open. For example, this may be done if a child is born with another heart defect that decreases blood flow to the lungs or the rest of the body.
                
Keeping the PDA open helps maintain blood flow and oxygen levels until doctors can do surgery to correct the other heart defect.
                
Outlook
                
PDA is a fairly common congenital heart defect in the United States. Although the condition can affect full-term infants, it's more common in premature infants.
                
On average, PDA occurs in about 8 out of every 1,000 premature babies, compared with 2out of every 1,000 full-term babies. Premature babies also are more vulnerable to the effects of PDA.
                
PDA is twice as common in girls as it is in boys.
                
Doctors treat the condition with medicines, catheter-based procedures, and surgery. Most children who have PDAs live healthy, normal lives after treatment."
symptoms,What are the symptoms of Patent Ductus Arteriosus ?,"A heart murmur may be the only sign that a baby has patent ductus arteriosus (PDA). A heart murmur is an extra or unusual sound heard during the heartbeat. Heart murmurs also have other causes besides PDA, and most murmurs are harmless.
                
Some infants may develop signs or symptoms of volume overload on the heart and excess blood flow in the lungs. Signs and symptoms may include:
                
Fast breathing, working hard to breathe, or shortness of breath. Premature infants may need increased oxygen or help breathing from a ventilator.
                
Poor feeding and poor weight gain.
                
Tiring easily.
                
Sweating with exertion, such as while feeding."
information,What is (are) Heart Valve Disease ?,"Heart valve disease occurs if one or more of your heart valves don't work well. The heart has four valves: the tricuspid, pulmonary, mitral,and aortic valves.
                
These valves have tissue flaps that open and close with each heartbeat. The flaps make sure blood flows in the right direction through your heart's four chambers and to the rest of your body.
                
Healthy Heart Cross-Section
                

                
Birth defects, age-related changes, infections, or other conditions can cause one or more of your heart valves to not open fully or to let blood leak back into the heart chambers. This can make your heart work harder and affect its ability to pump blood.
                
Overview
                
How the Heart Valves Work
                
At the start of each heartbeat, blood returning from the body and lungs fills the atria (the heart's two upper chambers). The mitral and tricuspid valves are located at the bottom of these chambers. As the blood builds up in the atria, these valves open to allow blood to flow into the ventricles (the heart's two lower chambers).
                
After a brief delay, as the ventricles begin to contract, the mitral and tricuspid valves shut tightly. This prevents blood from flowing back into the atria.
                
As the ventricles contract, they pump blood through the pulmonary and aortic valves. The pulmonary valve opens to allow blood to flow from the right ventricle into the pulmonary artery. This artery carries blood to the lungs to get oxygen.
                
At the same time, the aortic valve opens to allow blood to flow from the left ventricle into the aorta. The aorta carries oxygen-rich blood to the body. As the ventricles relax, the pulmonary and aortic valves shut tightly. This prevents blood from flowing back into the ventricles.
                
For more information about how the heart pumps blood and detailed animations, go to the Health Topics How the Heart Works article.
                
Heart Valve Problems
                
Heart valves can have three basic kinds of problems: regurgitation, stenosis, and atresia.
                
Regurgitation, or backflow, occurs if a valve doesn't close tightly. Blood leaks back into the chambers rather than flowing forward through the heart or into an artery.
                
In the United States, backflow most often is due to prolapse. ""Prolapse"" is when the flaps of the valve flop or bulge back into an upper heart chamber during a heartbeat. Prolapse mainly affects the mitral valve.
                
Stenosis occurs if the flaps of a valve thicken, stiffen, or fuse together. This prevents the heart valve from fully opening. As a result, not enough blood flows through the valve. Some valves can have both stenosis and backflow problems.
                
Atresia occurs if a heart valve lacks an opening for blood to pass through.
                
Some people are born with heart valve disease, while others acquire it later in life. Heart valve disease that develops before birth is called congenitalheart valve disease. Congenital heart valve disease can occur alone or with other congenital heart defects.
                
Congenital heart valve disease often involves pulmonary or aortic valves that don't form properly. These valves may not have enough tissue flaps, they may be the wrong size or shape, or they may lack an opening through which blood can flow properly.
                
Acquired heart valve disease usually involves aortic or mitral valves. Although the valves are normal at first, problems develop over time.
                
Both congenital and acquired heart valve disease can cause stenosis or backflow.
                
Outlook
                
Many people have heart valve defects or disease but don't have symptoms. For some people, the condition mostly stays the same throughout their lives and doesn't cause any problems.
                
For other people, heart valve disease slowly worsens until symptoms develop. If not treated, advanced heart valve disease can cause heart failure, stroke, blood clots, or death due to sudden cardiac arrest (SCA).
                
Currently, no medicines can cure heart valve disease. However, lifestyle changes and medicines can relieve many of its symptoms and complications. 
                
These treatments also can lower your risk of developing a life-threatening condition, such as stroke or SCA. Eventually, you may need to have your faulty heart valve repaired or replaced.
                
Some types of congenital heart valve disease are so severe that the valve is repaired or replaced during infancy, childhood, or even before birth. Other types may not cause problems until middle-age or older, if at all."
causes,What causes Heart Valve Disease ?,"Heart conditions and other disorders, age-related changes, rheumatic fever, or infections can cause acquired heart valve disease. These factors change the shape or flexibility of once-normal heart valves.
                
The cause of congenital heart valve disease isnt known. It occurs before birth as the heart is forming. Congenital heart valve disease can occur alone or with other types of congenital heartdefects.
                
Heart Conditions and Other Disorders
                
Certain conditions can stretch and distort the heart valves. These conditions include:
                
Advanced high blood pressure and heart failure, thiscan enlarge the heart or the main arteries.
                
Atherosclerosis in the aorta. Atherosclerosis is a condition in which a waxy substance called plaque builds up inside the arteries. The aorta is the main artery that carries oxygen-rich blood to the body.
                
Damage and scar tissue due to a heart attack or injury to the heart.
                
Rheumatic Fever
                
Untreated strep throat or other infections with strep bacteria that progress to rheumatic fever can cause heart valve disease.
                
When the body tries to fight the strep infection, one or more heart valves may be damaged or scarred in the process. The aortic and mitral valves most often are affected. Symptoms of heart valve damage often dont appear until many years after recovery from rheumatic fever.
                
Today, most people who have strep infections are treated with antibiotics before rheumatic fever occurs. If you have strep throat, take all of the antibiotics your doctor prescribes, even if you feel better before the medicine is gone.
                
Heart valve disease caused by rheumatic fever mainly affects older adults who had strep infections before antibiotics were available. It also affects people from developing countries, where rheumatic fever is more common.
                
Infections
                
Common germs that enter the bloodstream and get carried to the heart can sometimes infect the inner surface of the heart, including the heart valves. This rare but serious infection is called infective endocarditis.
                
The germs can enter the bloodstream through needles, syringes, or other medical devices and through breaks in the skin or gums. Often, the bodys defenses fight off the germs and no infection occurs. Sometimes these defenses fail, which leads to infective endocarditis.
                
Infective endocarditis can develop in people who already have abnormal blood flow through a heart valve as the result of congenital or acquired heart valve disease. The abnormal blood flow causes blood clots to form on the surface of the valve. The blood clots make it easier for germs to attach to and infect the valve.
                
Infective endocarditis can worsen existing heart valve disease.
                
Other Conditions and Factors Linked to Heart Valve Disease
                
Many other conditions and factors are linked to heart valve disease. However, the role they play in causing heart valve disease often isnt clear.
                
Autoimmune disorders. Autoimmune disorders, such as lupus, can affect the aortic and mitral valves.
                
Carcinoid syndrome. Tumors in the digestive tract that spread to the liver or lymph nodes can affect the tricuspid and pulmonary valves.
                
Diet medicines. The use of fenfluramine and phentermine (fen-phen) sometimes has been linked to heart valve problems. These problems typically stabilize or improve after the medicine is stopped.
                
Marfan syndrome. Congenital disorders, such as Marfan syndrome and other connective tissue disorders, can affect the heart valves.
                
Metabolic disorders. Relatively uncommon diseases (such as Fabry disease) and other metabolic disorders (such as high blood cholesterol) can affect the heart valves.
                
Radiation therapy. Radiation therapy to the chest area can cause heart valve disease. This therapy is used to treat cancer. Heart valve disease due to radiation therapy may not cause symptoms until years after the therapy."
susceptibility,Who is at risk for Heart Valve Disease? ?,"Older age is a risk factor for heart valve disease. As you age, your heart valves thicken and become stiffer. Also, people are living longer now than in the past. As a result, heart valve disease has become an increasing problem.
                
People who have a history of infective endocarditis (IE), rheumatic fever, heart attack, or heart failureor previous heart valve diseasealso are at higher risk for heart valve disease. In addition, having risk factors for IE, such as intravenous drug use, increases the risk of heart valve disease.
                
You're also at higher risk for heart valve disease if you have risk factors for coronary heart disease. These risk factors include high blood cholesterol, high blood pressure, smoking, insulin resistance, diabetes, overweight or obesity, lack of physical activity, and a family history of early heart disease.
                
Some people are born with an aortic valve that has two flaps instead of three. Sometimes an aortic valve may have three flaps, but two flaps are fused together and act as one flap. This is called a bicuspid or bicommissural aortic valve. People who have this congenital condition are more likely to develop aortic heart valve disease."
symptoms,What are the symptoms of Heart Valve Disease ?,"Major Signs and Symptoms
                
The main sign of heart valve disease is an unusual heartbeat sound called a heart murmur. Your doctor can hear a heart murmur with a stethoscope.
                
However, many people have heart murmurs without having heart valve disease or any other heart problems. Others may have heart murmurs due to heart valve disease, but have no other signs or symptoms.
                
Heart valve disease often worsens over time, so signs and symptoms may occur years after a heart murmur is first heard. Many people who have heart valve disease don't have any symptoms until they're middle-aged or older.
                
Other common signs and symptoms of heart valve disease relate to heart failure, which heart valve disease can cause. These signs and symptoms include:
                
Unusual fatigue (tiredness)
                
Shortness of breath, especially when you exert yourself or when you're lying down
                
Swelling in your ankles, feet, legs, abdomen, and veins in the neck
                
Other Signs and Symptoms
                
Heart valve disease can cause chest pain that may happen only when you exert yourself. You also may notice a fluttering, racing, or irregular heartbeat. Some types of heart valve disease, such as aortic or mitral valve stenosis, can cause dizziness or fainting."
exams and tests,How to diagnose Heart Valve Disease ?,"Your primary care doctor may detect a heart murmur or other signs of heart valve disease. However, a cardiologist usually will diagnose the condition. A cardiologist is a doctor who specializes in diagnosing and treating heart problems.
                
To diagnose heart valve disease, your doctor will ask about your signs and symptoms. He or she also will do a physical exam and look at the results from tests and procedures.
                
Physical Exam
                
Your doctor will listen to your heart with a stethoscope. He or she will want to find out whether you have a heart murmur that's likely caused by a heart valve problem.
                
Your doctor also will listen to your lungs as you breathe to check for fluid buildup. He or she will check for swollen ankles and other signs that your body is retaining water.
                
Tests and Procedures
                
Echocardiography (echo) is the main test for diagnosing heart valve disease. But an EKG (electrocardiogram) or chest x ray commonly is used to reveal certain signs of the condition. If these signs are present, echo usually is done to confirm the diagnosis.
                
Your doctor also may recommend other tests and procedures if you're diagnosed with heart valve disease. For example, you may have cardiac catheterization, (KATH-eh-ter-ih-ZA-shun), stress testing, or cardiac MRI (magnetic resonance imaging). These tests and procedures help your doctor assess how severe your condition is so he or she can plan your treatment.
                
EKG
                
This simple test detects and records the heart's electrical activity. An EKG can detect an irregular heartbeat and signs of a previous heart attack. It also can show whether your heart chambers are enlarged.
                
An EKG usually is done in a doctor's office.
                
Chest X Ray
                
This test can show whether certain sections of your heart are enlarged, whether you have fluid in your lungs, or whether calcium deposits are present in your heart.
                
A chest x ray helps your doctor learn which type of valve defect you have, how severe it is, and whether you have any other heart problems.
                
Echocardiography
                
Echo uses sound waves to create a moving picture of your heart as it beats. A device called a transducer is placed on the surface of your chest.
                
The transducer sends sound waves through your chest wall to your heart. Echoes from the sound waves are converted into pictures of your heart on a computer screen.
                
Echo can show:
                
The size and shape of your heart valves and chambers
                
How well your heart is pumping blood
                
Whether a valve is narrow or has backflow
                
Your doctor may recommend transesophageal (tranz-ih-sof-uh-JEE-ul) echo, or TEE, to get a better image of your heart.
                
During TEE, the transducer is attached to the end of a flexible tube. The tube is guided down your throat and into your esophagus (the passage leading from your mouth to your stomach). From there, your doctor can get detailed pictures of your heart.
                
You'll likely be given medicine to help you relax during this procedure.
                
Cardiac Catheterization
                
For this procedure, a long, thin, flexible tube called a catheter is put into a blood vessel in your arm, groin (upper thigh), or neck and threaded to your heart. Your doctor uses x-ray images to guide the catheter.
                
Through the catheter, your doctor does diagnostic tests and imaging that show whether backflow is occurring through a valve and how fully the valve opens. You'll be given medicine to help you relax, but you will be awake during the procedure.
                
Your doctor may recommend cardiac catheterization if your signs and symptoms of heart valve disease aren't in line with your echo results.
                
The procedure also can help your doctor assess whether your symptoms are due to specific valve problems or coronary heart disease. All of this information helps your doctor decide the best way to treat you.
                
Stress Test
                
During stress testing, you exercise to make your heart work hard and beat fast while heart tests and imaging are done. If you can't exercise, you may be given medicine to raise your heart rate.
                
A stress test can show whether you have signs and symptoms of heart valve disease when your heart is working hard. It can help your doctor assess the severity of your heart valve disease.
                
Cardiac MRI
                
Cardiac MRI uses a powerful magnet and radio waves to make detailed images of your heart. A cardiac MRI image can confirm information about valve defects or provide more detailed information.
                
This information can help your doctor plan your treatment. An MRI also may be done before heart valve surgery to help your surgeon plan for the surgery."
treatment,What are the treatments for Heart Valve Disease ?,"Currently, no medicines can cure heart valve disease. However, lifestyle changes and medicines often can treat symptoms successfully and delay problems for many years. Eventually, though, you may need surgery to repair or replace a faulty heart valve.
                
The goals of treating heart valve disease might include:
                
Medicines
                
Repairing or replacing faulty valves
                
Lifestyle changes to treat other related heart conditions
                
Medicines
                
In addition to heart-healthy lifestyle changes, your doctor may prescribe medicines to:
                
Lower high blood pressure or high blood cholesterol.
                
Prevent arrhythmias (irregular heartbeats).
                
Thin the blood and prevent clots (if you have a man-made replacement valve). Doctors also prescribe these medicines for mitral stenosis or other valve defects that raise the risk of blood clots.
                
Treat coronary heart disease. Medicines for coronary heart disease can reduce your hearts workload and relieve symptoms.
                
Treatheart failure. Heart failure medicines widen blood vessels and rid the body of excess fluid.
                
Repairing or Replacing Heart Valves
                
Your doctor may recommend repairing or replacing your heart valve(s), even if your heart valve disease isnt causing symptoms. Repairing or replacing a valve can prevent lasting damage to your heart and sudden death.
                
The decision to repair or replace heart valves depends on many factors, including:
                
The severity of your valve disease
                
Whether you need heart surgery for other conditions, such as bypass surgery to treat coronary heart disease. Bypass surgery and valve surgery can be performed at the sametime.
                
Your age and general health
                
When possible, heart valve repair is preferred over heart valve replacement. Valve repair preserves the strength and function of the heart muscle. People who have valve repair also have a lower risk of infective endocarditis after the surgery, and they dont need to take blood-thinning medicines for the rest of their lives.
                
However, heart valve repair surgery is harder to do than valve replacement. Also, not all valves can be repaired. Mitral valves often can be repaired. Aortic and pulmonary valves often have to be replaced.
                
Repairing Heart Valves
                
Heart surgeons can repair heart valves by:
                
Adding tissue to patch holes or tears or to increase the support at the base of the valve
                
Removing or reshaping tissue so the valve can close tighter
                
Separating fused valve flaps
                
Sometimes cardiologists repair heart valves using cardiac catheterization. Although catheter procedures are less invasive than surgery, they may not work as well for some patients. Work with your doctor to decide whether repair is appropriate. If so, your doctor can advise you on the best procedure.
                
Heart valves that cannot open fully (stenosis) can be repaired with surgery or with a less invasive catheter procedure called balloon valvuloplasty. This procedure also is called balloonvalvotomy.
                
During the procedure, a catheter (thin tube) with a balloon at its tip is threaded through a blood vessel to the faulty valve in your heart. The balloon is inflated to help widen the opening of the valve. Your doctor then deflates the balloon and removes both it and the tube. Youre awake during the procedure, which usually requires an overnight stay in a hospital.
                
Balloon valvuloplasty relieves many symptoms of heart valve disease, but may not cure it. The condition can worsen over time. You still may need medicines to treat symptoms or surgery to repair or replace the faulty valve. Balloon valvuloplasty has a shorter recovery time than surgery. The procedure may work as well as surgery for some patients who have mitral valve stenosis. For these people, balloon valvuloplasty often is preferred over surgical repair or replacement.
                
Balloon valvuloplasty doesnt work as well as surgery for adults who have aortic valve stenosis. Doctors often use balloon valvuloplasty to repair valve stenosis in infants and children.
                
Replacing Heart Valves
                
Sometimes heart valves cant be repaired and must be replaced. This surgery involves removing the faulty valve and replacing it with a man-made or biological valve.
                
Biological valves are made from pig, cow, or human heart tissue and may have man-made parts as well. These valves are specially treated, so you wont need medicines to stop your body from rejecting the valve.
                
Man-made valves last longer than biological valves and usually dont have to be replaced. Biological valves usually have to be replaced after about 10 years, although newer ones may last 15years or longer. Unlike biological valves, however, man-made valves require you to take blood-thinning medicines for the rest of your life. These medicines prevent blood clots from forming on the valve. Blood clots can cause a heart attack or stroke. Man-made valves also raise your risk of infective endocarditis.
                
You and your doctor will decide together whether you should have a man-made or biological replacement valve.
                
If youre a woman of childbearing age or if youre athletic, you may prefer a biological valve so you dont have to take blood-thinning medicines. If youre elderly, you also may prefer a biological valve, as it will likely last for the rest of your life.
                
Ross Procedure
                
Doctors also can treat faulty aortic valves with the Ross procedure. During this surgery, your doctor removes your faulty aortic valve and replaces it with your pulmonary valve. Your pulmonary valve is then replaced with a pulmonary valve from a deceased humandonor.
                
This is more involved surgery than typical valve replacement, and it has a greater risk of complications. The Ross procedure may be especially useful for children because the surgically replaced valves continue to grow with the child. Also, lifelong treatment with blood-thinning medicines isnt required. But in some patients, one or both valves fail to work well within a few years of the surgery. Researchers continue to study the use of this procedure.
                
Other Approaches for Repairing and Replacing Heart Valves
                
Some forms of heart valve repair and replacement surgery are less invasive than traditional surgery. These procedures use smaller incisions (cuts) to reach the heart valves. Hospital stays for these newer types of surgery usually are 3 to 5 days, compared with a 5-day stay for traditional heart valve surgery.
                
New surgeries tend to cause less pain and have a lower risk of infection. Recovery time also tends to be shorter2to 4weeks versus 6to 8weeks for traditional surgery.
                
Transcatheter Valve Therapy
                
Interventional cardiologists perform procedures that involve threading clips or other devices to repair faulty heart valves using a catheter (tube) inserted through a large blood vessel. The clips or devices are used to reshape the valves and stop the backflow of blood. People who receive these clips recover more easily than people who have surgery. However, the clips may not treat backflow as well as surgery.
                
Doctors also may use a catheter to replace faulty aortic valves. This procedure is called transcatheter aortic valve replacement (TAVR). For this procedure, the catheter usually is inserted into an artery in the groin (upper thigh) and threaded to the heart. A deflated balloon with a folded replacement valve around it is at the end of the catheter.
                
Once the replacement valve is placed properly, the balloon is used to expand the new valve so it fits securely within the old valve. The balloon is then deflated, and the balloon and catheter are removed.
                
A replacement valve also can be inserted in an existing replacement valve that is failing. This is called a valve-in-valve procedure.
                
Lifestyle Changes to Treat Other Related Heart
                
To help treat heart conditions related to heart valve disease, your doctor may advise you to make heart-healthy lifestyle changes, such as:
                
Heart-healthy eating
                
Maintaining a healthy weight
                
Managing stress
                
Physical activity
                
Quitting smoking
                
Heart-Healthy Eating
                
Your doctor may recommend heart-healthy eating, which should include:
                
Fat-free or low-fat dairy products, such as skim milk
                
Fish high in omega-3 fatty acids, such as salmon, tuna, and trout, about twice a week
                
Fruits, such as apples, bananas, oranges, pears, and prunes
                
Legumes, such as kidney beans, lentils, chickpeas, black-eyed peas, and lima beans
                
Vegetables, such as broccoli, cabbage, and carrots
                
Whole grains, such as oatmeal, brown rice, and corn tortillas
                
When following a heart-healthy diet, you should avoid eating:
                
A lot of red meat
                
Palm and coconut oils
                
Sugary foods and beverages
                
Two nutrients in your diet make blood cholesterol levels rise:
                
Saturated fatfound mostly in foods that come from animals
                
Trans fat (trans fatty acids)found in foods made with hydrogenated oils and fats, such as stick margarine; baked goods, such as cookies, cakes, and pies; crackers; frostings; and coffee creamers. Some trans fats also occur naturally in animal fats and meats.
                
Saturated fat raises your blood cholesterol more than anything else in your diet. When you follow a heart-healthy eating plan, only 5percent to 6percent of your daily calories should come from saturated fat. Food labels list the amounts of saturated fat. To help you stay on track, here are some examples:
                
AvocadosNot all fats are bad. Monounsaturated and polyunsaturated fats actually help lower blood cholesterol levels. Some sources of monounsaturated and polyunsaturated fats are:
                
Corn, sunflower, and soybean oils
                
Nuts and seeds, such as walnuts
                
Olive, canola, peanut, safflower, and sesame oils
                
Peanut butter
                
Salmon and trout
                
Tofu
                
Sodium
                
You should try to limit the amount of sodium that you eat. This means choosing and preparing foods that are lower in salt and sodium. Try to use low-sodium and no added salt foods and seasonings at the table or while cooking. Food labels tell you what you need to know about choosing foods that are lower in sodium. Try to eat no more than 2,300milligrams of sodium a day. If you have high blood pressure, you may need to restrict your sodium intake even more.
                
Dietary Approaches to Stop Hypertension
                
Your doctor may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan if you have high blood pressure. The DASH eating plan focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and low in fat, cholesterol, and sodium and salt.
                
The DASH eating plan is a good heart-healthy eating plan, even for those who dont have high blood pressure. Read more about DASH.
                
Alcohol
                
Try to limit alcohol intake. Too much alcohol can raise your blood pressure and triglyceride levels, a type of fat found in the blood. Alcohol also adds extra calories, which may cause weightgain.
                
Men should have no more than two drinks containing alcohol a day. Women should have no more than one drink containing alcohol a day. One drink is:
                
12 ounces of beer
                
5 ounces of wine
                
1 ounces of liquor
                
Maintaining a Healthy Weight
                
Maintaining a healthy weight is important for overall health and can lower your risk for heart valve disease. Aim for a Healthy Weight by following a heart-healthy eating plan and keeping physically active.
                
Knowing your body mass index (BMI) helps you find out if youre a healthy weight in relation to your height and gives an estimate of your total body fat. To figure out your BMI, check out the National Heart, Lung, and Blood Institutes online BMI calculator or talk to your doctor. A BMI:
                
Below 18.5 is a sign that you are underweight.
                
Between 18.5 and 24.9 is in the normal range.
                
Between 25.0 and 29.9 is considered overweight.
                
Of 30.0 or higher is considered obese.
                
A general goal to aim for is a BMI of less than 25. Your doctor or health care provider can help you set an appropriate BMI goal.
                
Measuring waist circumference helps screen for possible health risks. If most of your fat is around your waist rather than at your hips, youre at a higher risk for heart disease and type2 diabetes. This risk may be higher with a waist size that is greater than 35 inches for women or greater than 40 inches for men. To learn how to measure your waist, visit Assessing Your Weight and Health Risk.
                
If youre overweight or obese, try to lose weight. A loss of just 3 percent to 5 percent of your current weight can lower your triglycerides, blood glucose, and the risk of developing type 2 diabetes. Greater amounts of weight loss can improve blood pressure readings, lower LDL cholesterol, and increase HDL cholesterol.
                
Managing Stress
                
Learning how to manage stress, relax, and cope with problems can improve your emotional and physical health. Consider healthy stress-reducing activities, such as:
                
A stress management program
                
Meditation
                
Physical activity
                
Relaxation therapy
                
Talking things out with friends or family
                
Physical Activity
                
Regular physical activity can lower many heart valve disease risk factors.
                
Everyone should try to participate in moderate-intensity aerobic exercise at least 2hours and 30minutes per week or vigorous aerobic exercise for 1hour and 15minutes per week. Aerobic exercise, such as brisk walking, is any exercise in which your heart beats faster and you use more oxygen than usual. The more active you are, the more you will benefit. Participate in aerobic exercise for at least 10minutes at a time spread throughout the week.
                
Talk with your doctor before you start a new exercise plan. Ask your doctor how much and what kinds of physical activity are safe for you.
                
Read more about physical activity at:
                
Physical Activity and Your Heart
                
U.S. Department of Health and Human Services, 2008 Physical Activity Guidelines for Americans
                
Quitting Smoking
                
If you smoke or use tobacco, quit. Smoking can damage and tighten blood vessels and raise your risk for atherosclerosis and other health problems. Talk with your doctor about programs and products that can help you quit. Also, try to avoid secondhand smoke. If you have trouble quitting smoking on your own, consider joining a support group. Many hospitals, workplaces, and community groups offer classes to help people quit smoking.
                
For more information about how to quit smoking, visit the Smoking and Your Heart Health Topic."
prevention,How to prevent Heart Valve Disease ?,"To prevent heart valve disease caused by rheumatic fever, see your doctor if you have signs of a strep infection. These signs include a painful sore throat, fever, and white spots on your tonsils. If you do have a strep infection, be sure to take all medicines prescribed to treat it. Prompt treatment of strep infections can prevent rheumatic fever, which damages the heartvalves.
                
Its possible that exercise, a heart-healthy diet, and medicines that lower cholesterol might prevent aortic stenosis (thickening and stiffening of the aortic valve). Researchers continue to study this possibility.
                
Heart-healthy eating, physical activity, other heart-healthy lifestyle changes, and medicines aimed at preventing a heart attack, high blood pressure, or heart failure also may help prevent heart valve disease."
